batch,project,prolificId,questionSet,runRecords3,runRecords4,submitRecords3,submitRecords4,screener-prolific,screener-current-job,screener-programming-experience-obj,screener-language-proficiency-obj,screener-programming-experience-sub,screener-language-proficiency-sub,perceived-difficulty,attitudes-fear,attitudes-acceptance,codeExecutionSummary,cheat,BF_P_Sim,BF_AI_Sim,JPlag_P_Sim,JPlag_AI_Sim,leaveFullScreenTimes,Invalid
2,formal_medium_find_winner_without,616acad7a0da3227e607cabd,medium_find_winner,0.1,0.1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",5,3,3,2,3,4,9,0,,0,0,0,0,,yes
2,formal_medium_find_winner_without,65c19fc3a0cb3e89054d3eae,medium_find_winner,0.1,0,0.1,0,Yes,Others.,1,1,2,2,5,7,6.5,0,,0.125,0.076923077,,,,yes
2,formal_medium_find_winner_without,6623e8345875c239fcd2bd9e,medium_find_winner,0,1,0,0,Yes,Student specializing in IT-related fields.,4,1,3,2,4,0.333333333,8.5,1,,0.333333333,0.307692308,0.526315789,0.476190476,,
2,formal_medium_find_winner_without,66303b3d77cdc9c216ed8a9d,medium_find_winner,1,1,0,1,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",10+,10+,5,5,4,6,3,1,,0.25,0.307692308,1,1,,
1,formal_medium_validate_BST_with,64699c39810132db3b4250b1,medium_validate_BST,0.1,0,0.1,0,I don't know,Student specializing in IT-related fields.,1,1,2,2,5,1.666666667,9,0,,0.285714286,0.133333333,,,,yes
1,formal_medium_validate_BST_with,5db9a74d4a8687000b9ef833,medium_validate_BST,1,0,0.1,0.1,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",2,2,3,4,5,1.666666667,5,1,YES,0.166666667,0.066666667,0.642857143,0.5625,"{""3"":[2,6]}",
1,formal_medium_validate_BST_with,5fdcad62eed16d2504b27f5a,medium_validate_BST,0,0.1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,4,4,5,3,7,8.5,0,,0.666666667,0.666666667,0.941176471,1,"{""3"":[1,2]}",
1,formal_medium_validate_BST_with,61265fa763bacaa9ef2ab383,medium_validate_BST,1,0,0.1,0,Yes,Student specializing in IT-related fields.,4,2,4,4,4,3,8,1,YES,0.2,0.2,0,0,"{""3"":[2,7]}",yes
1,formal_medium_validate_BST_with,64a6f9c781f425259aba5e4a,medium_validate_BST,1,1,0,0,Yes,Student specializing in IT-related fields.,3,1,4,3,1,2.333333333,5.5,1,,0.230769231,0.2,0.695652174,1,,
1,formal_medium_validate_BST_with,65a2a4643cc27e9702199c43,medium_validate_BST,0.1,0,0.1,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",2,2,2,2,4,4.666666667,10,0,,0,0,,,,yes
2,formal_medium_validate_BST_with,6011c91e496f2f16d61402e7,medium_validate_BST,1,1,1,1,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",4,1,3,3,2,2.333333333,7.5,1,,0.7,0.466666667,1,1,,
2,formal_medium_validate_BST_with,614d519458658326e237eaa7,medium_validate_BST,0.1,0.1,0,0,Yes,Others.,0,1,2,2,5,5.666666667,3,0,,0.333333333,0.066666667,0,0,,yes
2,formal_medium_validate_BST_with,615b38fbee37c31346d21b1c,medium_validate_BST,0,0.1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,1,3,2,4,5,5.5,0,,0.8125,0.866666667,1,1,,
2,formal_medium_validate_BST_with,620bda0aa922fc3f247f64c2,medium_validate_BST,0.1,0.1,0.1,0,Yes,Student specializing in IT-related fields.,6,1,2,2,1,2.333333333,5.5,0,,0,0,,,"{""5"":[1,6]}",yes
2,formal_medium_validate_BST_with,6529416fca661cf7ee143821,medium_validate_BST,0.1,1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,3,3,3,4,6.666666667,6.5,1,,1,1,1,1,,
2,formal_medium_validate_BST_with,657dc1eca553ae8ee187d53e,medium_validate_BST,0.1,1,0,0,Yes,Others.,3,3,3,4,4,6,7,1,,1,1,1,1,,
2,formal_medium_validate_BST_with,65c783e5704051956c8ff924,medium_validate_BST,0.1,1,0,1,Yes,Student specializing in IT-related fields.,2,1,3,3,4,6.666666667,9,1,,1,1,1,1,,
2,formal_medium_validate_BST_with,66171378a0d58cc04011f002,medium_validate_BST,1,1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",10+,5,4,4,4,0.333333333,1.5,1,YES,0.093023256,0.266666667,0.118644068,0.4375,"{""3"":[2,5]}",
2,formal_medium_validate_BST_with,662f826869bc43d3dbbc8d9f,medium_validate_BST,0.1,1,0,0,Yes,Student specializing in IT-related fields.,5,2,4,3,3,5.666666667,8.5,1,,1,1,1,1,,
2,formal_medium_validate_BST_with,66303b3d77cdc9c216ed8a9d,medium_validate_BST,1,1,1,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",10+,10+,5,5,2,7,3,1,,0.5,0.4,1,1,,
1,formal_medium_validate_BST_without,6154776b07de67ce15599bd5,medium_validate_BST,0.1,0,0,0,No,Student specializing in IT-related fields.,1,1,2,2,5,6,7.5,0,,0.2,0.066666667,0,0,,yes
1,formal_medium_validate_BST_without,5e43f3ab6c137d000b704bd2,medium_validate_BST,0.1,1,0,1,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,2,3,3,3,1,4,1,YES,1,1,1,1,"{""4"":[1,10]}",
1,formal_medium_validate_BST_without,60f514c8104b6a16e44f77a9,medium_validate_BST,0,1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",2,2,3,3,3,4.333333333,7,1,,0.428571429,0.4,1,1,,
1,formal_medium_validate_BST_without,650b5155a7df63a5df87a7ed,medium_validate_BST,1,1,0,0,Yes,Student specializing in IT-related fields.,2,1,3,3,4,3.666666667,8.5,1,,1,1,1,1,,
1,formal_medium_validate_BST_without,660824b3f06831a1db520ff0,medium_validate_BST,0.1,0,0,0.1,Yes,Student specializing in IT-related fields.,2,2,2,4,4,7.666666667,10,0,YES,0,0,,,"{""3"":[2,6]}",yes
2,formal_medium_validate_BST_without,5f1f5fe94154031594d4e345,medium_validate_BST,0.1,1,0,0,Yes,Student specializing in IT-related fields.,3,0,4,2,3,4,6.5,1,,0.933333333,0.933333333,1,1,"{""3"":[1,2]}",
2,formal_medium_validate_BST_without,6094ce8d0764c24f352d1fe5,medium_validate_BST,0,0.1,0,0.1,Yes,Student specializing in IT-related fields.,3,2,3,4,3,2.333333333,6.5,0,,0.533333333,0.533333333,1,1,,
2,formal_medium_validate_BST_without,610ba8fced24e6ce1c89c68c,medium_validate_BST,0.1,0,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",6,1,3,2,5,5,6,0,,0.1,0.066666667,0,0,,
2,formal_medium_validate_BST_without,614d8fbb82f1d17aa02851fa,medium_validate_BST,0.1,0.1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",2,2,3,4,4,4,5,0,,0.222222222,0.133333333,0,0,,
2,formal_medium_validate_BST_without,64401b8dc61551f15637634b,medium_validate_BST,1,0,0.1,1,Yes,Others.,10+,5,5,4,2,0,4.5,1,,1,1,1,1,,
2,formal_medium_validate_BST_without,6525e82c59ec5a1ce71b9f27,medium_validate_BST,0.1,1,0,1,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",2,3,2,3,4,2.666666667,8,1,,0.444444444,0.266666667,1,1,,
2,formal_medium_validate_BST_without,659973d85dffc3c84fb51ec4,medium_validate_BST,1,0,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",10+,10+,5,5,3,7.666666667,3.5,1,,0.2,0.133333333,0.571428571,0.75,,
2,formal_medium_validate_BST_without,65b9019d4b66bcd86a2b6ec5,medium_validate_BST,0.1,1,0,0,Yes,Others.,4,2,3,4,3,2.333333333,9,1,,1,1,1,1,,
2,formal_medium_validate_BST_without,65c420c15931487d511e71e4,medium_validate_BST,1,1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",10+,10+,4,4,4,3,5,1,YES,0.130434783,0.2,0.45,0.5625,"{""3"":[2,3]}",
2,formal_medium_validate_BST_without,65dcb8de27f5cb588f25952f,medium_validate_BST,0,1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",10,0,3,2,3,0.666666667,6,1,,0.866666667,0.866666667,1,1,,
